L'IoU;Sommes moyennes
0.586957;0.586957
0.421846;0.504401
0.594517;0.534440
0.019900;0.405805
0.587774;0.442199
0.518293;0.454881
0.686767;0.488008
0.586207;0.500282
0.414226;0.490721
0.496504;0.491299
0.663655;0.506968
0.695727;0.522698
0.751357;0.540287
0.721064;0.553199
0.686994;0.562119
0.666839;0.568664
0.660144;0.574045
0.716975;0.581986
0.605217;0.583209
0.696794;0.588888
0.627937;0.590747
0.559302;0.589318
0.701684;0.594203
0.674946;0.597568
0.540209;0.595273
0.426114;0.588767
0.836756;0.597952
0.624137;0.598887
0.547628;0.597120
0.658463;0.599164
0.449164;0.594326
0.600235;0.594510
0.628989;0.595555
0.715245;0.599075
0.535110;0.597248
0.297954;0.588934
0.393798;0.583660
0.518157;0.581936
0.639239;0.583406
0.457480;0.580257
0.535503;0.579166
0.513382;0.577600
0.729899;0.581141
0.378578;0.576538
0.636307;0.577866
0.776776;0.582190
0.698787;0.584671
0.601605;0.585024
0.688950;0.587145
0.653160;0.588465
0.581975;0.588338
0.061458;0.578205
0.684606;0.580213
0.343183;0.575823
0.700034;0.578082
0.520206;0.577048
0.771350;0.580457
0.779562;0.583890
0.782110;0.587250
0.455251;0.585050
0.081073;0.576788
0.546850;0.576305
0.628429;0.577132
0.584299;0.577244
0.744998;0.579825
0.056524;0.571896
0.467980;0.570345
0.612813;0.570970
0.575604;0.571037
0.010964;0.563036
0.040295;0.555673
0.596376;0.556239
0.537629;0.555984
0.086631;0.549641
0.454634;0.548374
0.109691;0.542602
0.072765;0.536500
0.491462;0.535923
0.616165;0.536939
0.469963;0.536101
0.584139;0.536695
0.773684;0.539585
0.332943;0.537095
0.486222;0.536489
0.612603;0.537385
0.714375;0.539443
0.620442;0.540374
0.287250;0.537497
0.006390;0.531530
0.591398;0.532195
0.274615;0.529365
0.077291;0.524451
0.589222;0.525147
0.607745;0.526026
0.599588;0.526800
0.657877;0.528166
0.600710;0.528913
0.468951;0.528302
0.496218;0.527978
0.551856;0.528216
0.587355;0.528802
0.721935;0.530695
0.692081;0.532262
0.708448;0.533956
0.589041;0.534481
0.124609;0.530614
0.582173;0.531096
0.616870;0.531890
0.639466;0.532877
0.662949;0.534060
0.642786;0.535039
0.599534;0.535615
0.436285;0.534736
0.777526;0.536866
0.639913;0.537762
0.715702;0.539296
0.718160;0.540825
0.669593;0.541916
0.696766;0.543217
0.695084;0.544483
0.000000;0.539983
0.574074;0.540262
0.462202;0.539628
0.494278;0.539262
0.340331;0.537670
0.235063;0.535269
0.665079;0.536291
0.650501;0.537183
0.686473;0.538340
0.466376;0.537787
0.686200;0.538920
0.607952;0.539443
0.256924;0.537319
0.657279;0.538214
0.683985;0.539294
0.473373;0.538809
0.661355;0.539703
0.143322;0.536831
0.318697;0.535262
0.401651;0.534307
0.367144;0.533122
0.242915;0.531078
0.469605;0.530648
0.447178;0.530069
0.761685;0.531666
0.527571;0.531638
0.534629;0.531658
0.759889;0.533200
0.632972;0.533870
0.457820;0.533363
0.469869;0.532942
0.141829;0.530369
0.741417;0.531749
0.598313;0.532181
0.401178;0.531336
0.518690;0.531255
0.598057;0.531680
0.666179;0.532531
0.408467;0.531751
0.583637;0.532075
0.650013;0.532808
0.472533;0.532436
0.522287;0.532374
0.457744;0.531919
0.167468;0.529710
0.462555;0.529305
0.504474;0.529157
0.604191;0.529603
0.000000;0.526469
0.065863;0.523760
0.046819;0.520971
0.568500;0.521247
0.553547;0.521434
0.582444;0.521784
0.567881;0.522048
0.564129;0.522287
0.733170;0.523478
0.194879;0.521632
0.338073;0.520607
0.717691;0.521702
0.613139;0.522207
0.725278;0.523323
0.024522;0.520597
0.581237;0.520927
0.522466;0.520935
0.587629;0.521294
0.635566;0.521905
0.605590;0.522350
0.577440;0.522641
0.507665;0.522562
0.372441;0.521776
0.649488;0.522442
0.556020;0.522616
0.147279;0.520681
0.621080;0.521196
0.728076;0.522251
0.036315;0.519785
0.160477;0.517970
0.817194;0.519473
0.721113;0.520482
0.755561;0.521651
0.788410;0.522972
0.814076;0.524406
0.628613;0.524917
0.745142;0.525991
0.706093;0.526865
0.480836;0.526643
0.585903;0.526928
0.585675;0.527209
0.685246;0.527961
0.441044;0.527550
0.756869;0.528631
0.578757;0.528867
0.033065;0.526550
0.000000;0.524101
0.658352;0.524722
0.037568;0.522477
0.697932;0.523282
0.609218;0.523674
0.849191;0.525154
0.778219;0.526299
0.633894;0.526784
0.671521;0.527433
0.055529;0.525326
0.215669;0.523950
0.744989;0.524928
0.000000;0.522615
0.466063;0.522367
0.576544;0.522604
0.734787;0.523527
0.340726;0.522735
0.274725;0.521666
0.425656;0.521254
0.294624;0.520286
0.257062;0.519166
0.291071;0.518199
0.367742;0.517564
0.654286;0.518139
0.593137;0.518453
0.000000;0.516292
0.501577;0.516231
0.431985;0.515883
0.483092;0.515748
0.347561;0.515059
0.308911;0.514217
0.026133;0.512233
0.075727;0.510466
0.686077;0.511174
0.488142;0.511082
0.668993;0.511713
0.552597;0.511876
0.211494;0.510684
0.000000;0.508666
0.517423;0.508700
0.351531;0.508084
0.430000;0.507779
0.214521;0.506638
0.633248;0.507129
0.571143;0.507376
0.627482;0.507838
0.573872;0.508091
0.594190;0.508419
0.592040;0.508737
0.570704;0.508972
0.463051;0.508799
0.690219;0.509481
0.673166;0.510094
0.823496;0.511263
0.540609;0.511372
0.561750;0.511559
0.406697;0.511172
0.000000;0.509293
0.000000;0.507427
0.512023;0.507444
0.254377;0.506524
0.107745;0.505079
0.828224;0.506245
0.486283;0.506174
0.000000;0.504359
0.645227;0.504862
0.000000;0.503066
0.025149;0.501371
0.000000;0.499599
0.132180;0.498306
0.570278;0.498558
0.643357;0.499065
0.661220;0.499630
0.000000;0.497895
0.493166;0.497878
0.599740;0.498230
0.685355;0.498873
0.002571;0.497173
0.510802;0.497220
0.291491;0.496520
0.694259;0.497190
0.576271;0.497457
0.539510;0.497599
0.501174;0.497611
0.000000;0.495947
0.492925;0.495936
