L'IoU;Sommes moyennes
0.401961;0.401961
0.371377;0.386669
0.420415;0.397918
0.659334;0.463272
0.632173;0.497052
0.557854;0.507186
0.554734;0.513978
0.706120;0.537996
0.659393;0.551485
0.575342;0.553870
0.556478;0.554107
0.448951;0.545344
0.480315;0.540342
0.409018;0.530962
0.399077;0.522170
0.384615;0.513572
0.031558;0.485219
0.018647;0.459298
0.133047;0.442127
0.721245;0.456083
0.673038;0.466414
0.700557;0.477057
0.480348;0.477200
0.556616;0.480509
0.563128;0.483814
0.684793;0.491544
0.629262;0.496644
0.552511;0.498640
0.561841;0.500819
0.561443;0.502840
0.439485;0.500796
0.369307;0.496687
0.033467;0.482650
0.683453;0.488556
0.687875;0.494251
0.724372;0.500643
0.874960;0.510760
0.906818;0.521182
0.891589;0.530680
0.883043;0.539489
0.898815;0.548253
0.817476;0.554663
0.554321;0.554655
0.396061;0.551051
0.899200;0.558787
0.873607;0.565631
0.622771;0.566847
0.655882;0.568702
0.693638;0.571252
0.684657;0.573520
0.725753;0.576505
0.711451;0.579100
0.845061;0.584118
0.821138;0.588507
0.667637;0.589946
0.636630;0.590780
0.787477;0.594230
0.662680;0.595411
0.824788;0.599298
0.857973;0.603610
0.831967;0.607353
0.634412;0.607790
0.730668;0.609740
0.777637;0.612363
0.826058;0.615651
0.717247;0.617190
0.571865;0.616514
0.586043;0.616066
0.253527;0.610812
0.351883;0.607113
0.070007;0.599548
0.061906;0.592080
0.053612;0.584704
0.073425;0.577795
0.084380;0.571216
0.123684;0.565328
0.220937;0.560855
0.288838;0.557368
0.275777;0.553803
0.134427;0.548561
0.303706;0.545538
0.177430;0.541049
0.057090;0.535218
0.078445;0.529780
0.100890;0.524734
0.252049;0.521564
0.092308;0.516630
0.112162;0.512034
0.068475;0.507050
0.610449;0.508199
0.641439;0.509663
0.509039;0.509656
0.254627;0.506914
0.544088;0.507309
0.172911;0.503789
0.408666;0.502798
0.486726;0.502633
0.612524;0.503754
0.649900;0.505230
0.509918;0.505277
0.666916;0.506877
0.789231;0.509646
0.543254;0.509972
0.500543;0.509881
0.473602;0.509536
0.817847;0.512444
0.756110;0.514722
0.759609;0.516989
0.670510;0.518398
0.771725;0.520701
0.762843;0.522882
0.808897;0.525436
0.795724;0.527828
0.780914;0.530048
0.787525;0.532287
0.753194;0.534191
0.802166;0.536481
0.773953;0.538494
0.759023;0.540347
0.735670;0.541975
0.808262;0.544176
0.812236;0.546373
0.842395;0.548779
0.339221;0.547089
0.478642;0.546542
0.729430;0.547993
0.662643;0.548896
0.720707;0.550238
0.717349;0.551534
0.480068;0.550984
0.528930;0.550816
0.686022;0.551840
0.697385;0.552934
0.738251;0.554317
0.752749;0.555787
0.809144;0.557650
0.817246;0.559545
0.859681;0.561720
0.935243;0.564407
0.909206;0.566870
0.764640;0.568272
0.903006;0.570630
0.879555;0.572790
0.838358;0.574634
0.819111;0.576320
0.744554;0.577473
0.720480;0.578445
0.767107;0.579720
0.749705;0.580861
0.786119;0.582229
0.871421;0.584144
0.779004;0.585427
0.378589;0.584075
0.537001;0.583769
0.620766;0.584008
0.673070;0.584579
0.740882;0.585574
0.442379;0.584668
0.514296;0.584225
0.557412;0.584058
0.581400;0.584041
0.561822;0.583904
0.726939;0.584781
0.722373;0.585620
0.762833;0.586694
0.760345;0.587741
0.619507;0.587931
0.427737;0.586977
0.755006;0.587971
0.780013;0.589101
0.844378;0.590594
0.795673;0.591786
0.905116;0.593597
0.540942;0.593295
0.676483;0.593770
0.713404;0.594450
0.645658;0.594739
0.715603;0.595418
0.739496;0.596223
0.827307;0.597507
0.841478;0.598855
0.853337;0.600253
0.895060;0.601864
0.909266;0.603535
0.741078;0.604278
0.646906;0.604507
0.635756;0.604674
0.431541;0.603754
0.448128;0.602930
0.510114;0.602442
0.545455;0.602143
0.565574;0.601953
0.487294;0.601359
0.571615;0.601205
0.814353;0.602298
0.666139;0.602624
0.645951;0.602844
0.645139;0.603058
0.676650;0.603428
0.664000;0.603730
0.682109;0.604120
0.036267;0.601309
0.128539;0.598980
0.480251;0.598398
0.101714;0.595976
0.448786;0.595261
0.507611;0.594838
0.578495;0.594759
0.418660;0.593916
0.467425;0.593314
0.574679;0.593226
0.723592;0.593841
0.550667;0.593638
0.571862;0.593536
0.576265;0.593456
0.402830;0.592573
0.486609;0.592085
0.541516;0.591853
0.560606;0.591710
0.664294;0.592040
0.515833;0.591696
0.503030;0.591296
0.446360;0.590646
0.545935;0.590447
0.310754;0.589204
0.466958;0.588663
0.202257;0.586960
0.592007;0.586983
0.731023;0.587612
0.513427;0.587289
0.421065;0.586569
0.637333;0.586788
0.655502;0.587083
0.531091;0.586844
0.533022;0.586615
0.393828;0.585798
0.644907;0.586047
0.488268;0.585637
0.504216;0.585296
0.627660;0.585472
0.534299;0.585260
0.488934;0.584862
0.473831;0.584405
0.566323;0.584331
0.425653;0.583683
0.084161;0.581653
0.627057;0.581837
0.372266;0.580992
0.559829;0.580907
0.621005;0.581067
0.572546;0.581033
0.593979;0.581084
0.620155;0.581239
0.630010;0.581431
0.909757;0.582718
0.909115;0.583993
0.902571;0.585233
0.819801;0.586142
0.827479;0.587074
0.731972;0.587631
0.814199;0.588499
0.766220;0.589178
0.791546;0.589947
0.613389;0.590036
0.666011;0.590323
0.646298;0.590533
0.596506;0.590555
0.397621;0.589835
0.588569;0.589831
0.616490;0.589929
0.596438;0.589953
0.366794;0.589133
0.669017;0.589426
0.687889;0.589785
0.678927;0.590109
0.784016;0.590812
0.783654;0.591508
0.600149;0.591539
0.665421;0.591804
0.763689;0.592418
0.411483;0.591774
0.763301;0.592382
0.723545;0.592845
0.607702;0.592898
0.800390;0.593626
0.690798;0.593966
0.782362;0.594622
0.670122;0.594884
0.602692;0.594911
0.258161;0.593750
0.604575;0.593787
0.570263;0.593707
0.352486;0.592883
0.572023;0.592812
0.654486;0.593021
0.360453;0.592236
0.495935;0.591912
0.626364;0.592027
0.616959;0.592111
0.703209;0.592481
